,id,perc_syn,method,sampling,map,map50,prediction,recall,fitness,precision,set,Unnamed: 0
97,6npzev9u,500,lllyasviel_canny,random,0.5155390220417191,0.8256080820274156,,0.7541612666666667,,0.8160440242227218,train,83.0
98,ovylwkzf,500,lllyasviel_openpose,random,0.4833195843041479,0.8078794831706781,,0.7435446666666669,,0.7983285612685849,train,84.0
99,3bvxonei,375,lllyasviel_canny,nima_best,0.4652732,0.7768178,,0.7081654000000001,,0.7835776000000001,train,85.0
100,hhymu3v7,375,crucible_mediapipe_face,nima_best,0.3784958056639755,0.7048654928210829,,0.6548185333333333,,0.724726176038775,train,86.0
101,qmaf0yo7,375,controlnet_segmentation,nima_best,0.4201449913339802,0.771040910318284,,0.7326570000000001,,0.7750865298468358,train,87.0
102,yksgpica,375,lllyasviel_openpose,nima_best,0.4545027999999999,0.7880592,,0.7125097999999999,,0.8025957999999999,train,88.0
103,h5580917,625,lllyasviel_openpose,nima_best,0.4910109767408203,0.8078200520926723,,0.7546936471137805,,0.8231558215581407,train,89.0
104,jkubh2u8,625,lllyasviel_canny,nima_best,0.5071186514193039,0.8121157316932016,,0.7580991333333332,,0.8077179565024949,train,90.0
105,m3e7vub4,625,crucible_mediapipe_face,nima_best,0.3489045999999999,0.689299,,0.6484650000000001,,0.7080861999999999,train,91.0
106,mujqryu8,625,controlnet_segmentation,nima_best,0.4139260138220194,0.7504975790920647,,0.6879182666666668,,0.7624867129372843,train,92.0
107,ht7xkygg,500,lllyasviel_openpose,brisque_best,0.4620590040527527,0.8020181801107655,,0.7391692730569928,,0.820758237525514,train,93.0
108,07aswivt,500,controlnet_segmentation,brisque_best,0.3873285041399074,0.7272670580073983,,0.6776815333333333,,0.7456313390675348,train,94.0
109,18oxijx7,500,crucible_mediapipe_face,brisque_best,0.3516229097886245,0.668191050317798,,0.6239488262504929,,0.7071750363433555,train,95.0
110,kfwj8vck,500,lllyasviel_canny,brisque_best,0.5052903401867131,0.8091735391685646,,0.7325261333333334,,0.7972613823816695,train,96.0
111,ghc3wj1c,500,crucible_mediapipe_face,clipiqa+_best,0.3674564907290714,0.6927336417611949,,0.6508356004431782,,0.738648140943054,train,97.0
112,sawemljf,500,lllyasviel_openpose,clipiqa+_best,0.4939177975751356,0.8258567766651322,,0.7561983999999999,,0.7971961988464003,train,98.0
113,73znogxq,500,controlnet_segmentation,clipiqa+_best,0.3837089378802225,0.7101882217334308,,0.6871367025787692,,0.7265023284224839,train,99.0
114,giz9j2g0,500,lllyasviel_canny,clipiqa+_best,0.5011277272819084,0.8123986071629423,,0.7429432666666668,,0.8031072526298186,train,100.0
115,ionvmcry,375,lllyasviel_openpose,clipiqa+_best,0.457354855443713,0.7699281109386152,,0.7281905333333334,,0.7736157110411328,train,101.0
116,xbcqsmp9,375,controlnet_segmentation,clipiqa+_best,0.4026082625665711,0.7442433893494004,,0.6933133304637971,,0.7514912844826247,train,102.0
117,b1ymvqxe,375,crucible_mediapipe_face,clipiqa+_best,0.3921966719413517,0.7382020741039333,,0.68020357557165,,0.7456712725915037,train,103.0
118,z5pjwr4z,375,lllyasviel_canny,clipiqa+_best,0.4832336217302391,0.7972967267232035,,0.7360611333333332,,0.8140863715393074,train,104.0
